date,observed_case,observed_vaccine,no_information_case,no_information_vaccine,spline_beta_case,spline_beta_vaccine,semi_mechanistic_case,semi_mechanistic_vaccine,counterfactual_M_zero_case,counterfactual_M_zero_vaccine,counterfactual_C_zero_case,counterfactual_C_zero_vaccine
2022-01-01,2036926.7484940027,3872054.773711584,2036926.7484940027,3872054.773711584,2036926.7484940027,3872054.773711584,2036926.7484940027,3872054.773711584,2036926.7484940027,3872054.773711584,2036926.7484940027,3872054.773711584
2022-01-02,2064712.9629231452,4108065.9381200047,2065619.918310221,4152619.4648322747,2067856.1657693838,4152742.9963911325,2068739.5188048691,3970171.888724824,2050023.3166662503,39862958.80658989,2102786.4269013875,3872055.750403316
2022-01-03,2093506.5855018927,4321599.848775242,2094155.499787951,4430919.9968657205,2099304.052388122,4431146.548542123,2100808.1033731946,4095761.0831742682,2056239.8995090325,42007383.702527694,2170552.4539610934,3872056.734312598
2022-01-04,2123555.196406475,4514797.196510934,2122553.146479805,4706974.369031543,2131205.629174477,4707279.074733872,2133090.5774072153,4248747.620476623,2061954.030487433,42108428.06416146,2241457.824930787,3872057.7254156335
2022-01-05,2154981.939605858,4689594.796843226,2150824.3768510567,4980800.336921633,2163489.6915696114,4981154.619699875,2165536.9966746774,4427778.501170826,2067467.9768814347,42112372.201907255,2316520.396710268,3872058.7236582134
2022-01-06,2187932.2310719667,4847745.006667681,2178974.722109531,5252415.46415312,2196079.082944102,5252787.66724898,2198091.68666094,4630573.834635035,2072755.7754127607,42112504.66802628,2396619.57179079,3872059.7289591865
2022-01-07,2221975.5423984462,4990833.29174695,2207005.352472161,5521837.161021981,2228891.452013946,5522193.174751512,2230695.213016487,4854291.661471035,2077789.7728079613,42112508.616344556,2482550.8215698665,3872060.7412123983
2022-01-08,2256581.205027166,5272759.549675812,2234914.2826995836,5789082.712687172,2261840.21938716,5789386.600404679,2263286.060512926,5095858.184643848,2082552.690294111,42112508.72344748,2575064.749553162,3872061.760287523
2022-01-09,2290750.8997864835,5527835.687801925,2262697.2292005415,6054169.298660419,2294835.73767471,6054383.922439332,2295801.9988907496,5352209.081138859,2087035.8544915472,42112508.72614689,2674895.345605642,3872062.786030071
2022-01-10,2324711.9569496755,5758618.860392218,2290348.278719042,6317114.007563541,2327786.6180675398,6317201.649694664,2328181.341278617,5620450.963403179,2091237.2772309862,42112508.72621165,2782780.36807542,3872063.8182607633
2022-01-11,2358554.0562878014,5967422.683212007,2317860.3683995013,6577933.847159432,2360601.124595078,6577856.8216088535,2360363.433161138,5897953.625403288,2095160.0553485095,42112508.72608868,2899476.239411764,3872064.856774419
2022-01-12,2392259.479498487,6156340.427668006,2345225.6631815583,6836645.751786739,2393188.627950125,6836366.998457264,2392289.5691962326,6182406.316757271,2098811.063635193,42112508.72635509,3025769.132166009,3872065.901338477
2022-01-13,2425635.4338319646,6327266.005985339,2372435.8112071115,7093266.586728819,2425461.030267185,7092750.240981297,2423903.965605443,6471827.748438159,2102199.899733053,42112508.726217635,3162482.988097643,3872066.951691195
2022-01-14,2458787.202038444,6481912.95779626,2399482.1592753837,7347813.151546679,2457334.1596145593,7347025.081109051,2455153.4789728723,6764535.850019725,2105338.040826275,42112508.72621152,3310485.417647363,3872068.007539607
2022-01-15,2491261.5637490684,6764494.676101378,2426355.892290511,7600302.181495793,2488729.0220487607,7599210.4827864105,2485988.3890311895,7059133.696309351,2108238.1777318283,42112508.72621722,3470691.8930004244,3872069.0685572736
2022-01-16,2522693.1291063,7020163.84980601,2453048.1601388967,7850750.348596295,2519572.9236201607,7849325.795274891,2516362.561197539,7354474.840643785,2110913.6948002046,42112508.72640719,3644068.393442081,3872070.134381856
2022-01-17,2553082.926334271,7251483.578395913,2479550.1629299815,8099174.261650763,2549800.4093381646,8097390.69959934,2546233.4872874334,7649629.470978737,2113378.269177928,42112508.725961804,3831632.750163499,3872071.204612559
2022-01-18,2582615.9809691026,7460772.856643922,2505853.2109466167,8345590.465612959,2579354.0391041175,8343425.1506517865,2575562.5708791804,7943846.881475883,2115645.5668772724,42112508.72612233,4034454.6418638746,3872072.2788074724
2022-01-19,2611448.458972045,7650129.822677835,2531948.78293887,8590015.440901166,2608184.9000994256,8587449.314032463,2604315.164827092,8236529.52779382,2117729.0162001434,42112508.72621767,4253654.217127265,3872073.3564808373
2022-01-20,2639660.2247842317,7821452.791946612,2557828.5596670043,8832465.602090541,2636252.961616853,8829483.502086395,2632460.445829751,8527207.900083713,2119641.6436240994,42112508.72632901,4490399.218023831,3872074.437100302
2022-01-21,2667118.58432859,7976459.287951698,2583484.4516325775,9072957.296456872,2663527.175133226,9069548.107721027,2659971.489275736,8815515.341030609,2121395.958446651,42112508.726208374,4745900.452032583,3872075.520084192
2022-01-22,2693645.576297296,8553281.070051536,2608908.6343033495,9311506.802708376,2689985.4728874913,9307663.541320529,2686825.150682372,9101169.84153492,2123003.8760278365,42112508.726246126,5021405.399725827,3872076.6047988688
2022-01-23,2718909.3309356486,9075167.444332344,2634093.5534516666,9548130.328985441,2715614.4988968144,9543850.166649446,2713001.9315159405,9383957.859488277,2124476.6709395037,42112508.72621952,5318189.731350408,3872077.6905562496
2022-01-24,2743130.632751301,9547350.35439593,2659031.9448236935,9782844.01122653,2740409.2711467016,9778128.241779821,2738485.920921167,9663720.592247337,2125824.9531462076,42112508.72621044,5637546.514791402,3872078.7766115195
2022-01-25,2766806.9534416534,9974563.46350108,2683716.8444623733,10015663.911317226,2764372.699240783,10010517.86290391,2763264.567740853,9940343.903739017,2127058.6616521245,42112508.72624028,5980772.918249883,3872079.862161205
2022-01-26,2790003.719780544,10361089.60983431,2708141.5968366954,10246606.015211554,2787515.019173292,10241038.912750999,2787328.537790926,10213748.989318952,2128187.071186405,42112508.72622583,6349153.9948252,3872080.946341639
2022-01-27,2812668.413134777,10710803.742231045,2732299.8611734784,10475686.231036538,2809853.1651482224,10469711.017502831,2810671.5151376454,10483885.23062099,2129218.8084353306,42112508.72609497,6743944.226254549,3872082.0282279956
2022-01-28,2834781.897598132,11027211.766780468,2756185.616194379,10702920.387180595,2831410.2114471328,10696553.491585582,2833290.0159814795,10750724.30626375,2130161.8750717985,42112508.72618938,7166344.574386459,3872083.106833917
2022-01-29,2856002.6692554527,11313485.693753757,2779793.1640046593,10928324.230394011,2852214.485242611,10921585.328545757,2855183.200775494,11014255.521833323,2131023.6754299514,42112508.72621362,7617477.158009322,3872084.1811119616
2022-01-30,2876223.462659695,11695023.246729588,2803117.1303862077,11151913.423855944,2872299.5320432764,11144825.12660048,2876352.6470126254,11274482.310002523,2131811.047081639,42112508.72620607,8098358.299489332,3872085.249955001
2022-01-31,2895601.418596867,12040223.8898982,2826152.471356174,11373703.545429494,2891702.8144210624,11366291.07818033,2896802.1490711654,11531418.979969,2132530.293096508,42112508.72620582,8609868.756160095,3872086.3121989476
2022-02-01,2914511.473968594,12352548.281336466,2848894.464151802,11593710.085563162,2910463.1601788998,11586001.001110608,2916537.541440312,11785088.153304392,2133187.214980345,42112508.7262405,9152711.200506553,3872087.366625406
2022-02-02,2932996.4764477755,12635127.492637755,2871338.7079324946,11811948.445498182,2928617.5480053187,11803972.343989749,2935566.4779926515,12035519.036714522,2133787.1455393657,42112508.72624253,9727391.76355928,3872088.4119683714
2022-02-03,2950965.76440513,12890794.398100829,2893481.13314463,12028433.935759118,2946197.8421393866,12020222.100507498,2953898.258272513,12282745.824428758,2134334.981134445,42112508.72620975,10334183.454835827,3872089.4469206505
2022-02-04,2968420.0725570223,13122112.074472176,2915318.004050892,12243181.774520475,2963231.2480301624,12234766.887351332,2971543.649250275,12526806.429425763,2134835.2129284833,42112508.72619144,10973071.932855332,3872090.4701399594
2022-02-05,2985150.25612302,13331399.495951014,2936845.898906804,12456207.08544158,2979742.3643603665,12447623.103414949,2988514.679853686,12767741.515122166,2135291.956867543,42112508.72621324,11643710.96450316,3872091.4802574096
2022-02-06,3001034.326968447,13592153.353479488,2958061.689454312,12667524.895545095,2995752.01226458,12658806.825680094,3004824.513446054,13005593.750033509,2135708.982207246,42112508.72619339,12345414.96618964,3872092.4758910867
2022-02-07,3016268.295828595,13828073.510290967,2978962.588090074,12877150.134949159,3011277.8761795787,12868333.870683236,3020487.2680241955,13240407.155310301,2136089.738476967,42112508.72620324,13077176.259654945,3872093.4556632773
2022-02-08,3031073.981940157,14041525.080739446,2999546.1104679843,13085097.634429434,3026334.6975739948,13076219.81728154,3035517.87825046,13472226.631856337,2136437.380827433,42112508.726235494,13837553.569361875,3872094.418205014
2022-02-09,3045453.03127919,14234647.930192832,3019810.073785977,13291382.123993145,3040934.4587285696,13282480.028073436,3049931.9705999848,13701097.577536043,2136754.79375729,42112508.72623719,14624709.70028175,3872095.362176423
2022-02-10,3059365.21877641,14409378.127317324,3039752.597352237,13496018.231580218,3055086.5647480045,13487129.669583833,3063745.7025043718,13927065.551836988,2137044.613237308,42112508.726210274,15436405.858889816,3872096.286282481
2022-02-11,3072809.5788929425,14567467.353287105,3059372.1023268905,13699020.481813122,3068798.0073891114,13690183.73058695,3076975.6812767317,14150176.075153124,2137309.247267778,42112508.726194285,16270000.423166916,3872097.1892884364
2022-02-12,3085713.9047126626,14710500.462497856,3078667.2931609373,13900403.294338778,3082073.543282124,13891657.039397098,3089638.8370341863,14370474.420905381,2137550.8949278737,42112508.72621345,17122479.6999795,3872098.0700377184
2022-02-13,3097871.05664479,14914203.275593296,3097637.155074294,14100180.982663032,3094915.861954121,14091564.279261196,3101752.3294609315,14588005.491418798,2137771.5639907815,42112508.726197,17990485.881303295,3872098.927467588
2022-02-14,3109515.051250048,15098505.820774889,3116280.9577120757,14298367.753219832,3107325.7847137093,14289920.002882421,3113333.4673999925,14802813.701038945,2137973.0871768105,42112508.72620762,18870362.537106313,3872099.7606245345
2022-02-15,3120756.47494052,15265255.74260585,3134598.2383832857,14494977.703979883,3119302.4618977387,14486738.644972911,3124399.6057038866,15014942.880531946,2138157.1371226823,42112508.72624296,19758212.912244417,3872100.5686784126
2022-02-16,3131620.8106604703,15416124.719500532,3152588.7970507992,14690024.823440483,3130843.5963321174,14682034.533472573,3134968.095313851,15224436.231561419,2138325.240147496,42112508.72622788,20649968.114074428,3872101.3509346726
2022-02-17,3142162.7334547117,15552625.222405242,3170252.696593583,14883522.989826491,3141945.684860444,14875821.899040382,3145056.205466525,15431336.276199084,2138478.788895557,42112508.72620512,21541462.12170891,3872102.1068441123
2022-02-18,3152307.235030453,15676125.677414266,3187590.250671104,15075485.970042363,3152604.2719053365,15068114.882504825,3154681.069890283,15635684.826877533,2138619.053933695,42112508.72618829,22428512.637466695,3872102.836010016
2022-02-19,3162058.1650275527,15787864.184327193,3204602.0064326106,15265927.418563776,3162814.2388455276,15258927.540829819,3163859.641135269,15837522.961567437,2138747.1943803974,42112508.72621397,23307002.08058289,3872103.538192089
2022-02-20,3171234.6255011195,15926537.500105556,3221288.754986536,15454860.877125865,3172570.1022307994,15448273.850758988,3172608.6305835214,16036891.005894417,2138864.2676387285,42112508.72622419,24172960.25924746,3872104.213307679
2022-02-21,3179975.0421200604,16052003.833428835,3237651.5128553193,15642299.77372884,3181866.3397769677,15636167.710637426,3180944.4855503244,16233828.53835053,2138971.238299604,42112508.7262104,25022638.190428294,3872104.8614293328
2022-02-22,3188512.9428705308,16165520.9921499,3253691.5141764907,15828257.42199602,3190697.7130289157,15822622.93956337,3188883.346244003,16428374.388246737,2139068.986282264,42112508.72622108,25852576.789713413,3872105.4827797064
2022-02-23,3196922.376882861,16268226.99289753,3269410.209097296,16012747.020763539,3199059.6085968507,16007653.274632514,3196441.020923544,16620566.634074029,2139158.314273937,42112508.72621366,26659661.493385587,3872106.0777231916
2022-02-24,3205124.340989256,16361151.469764432,3284809.254187885,16195781.653533937,3206948.4106648485,16191272.366796704,3203632.9647866874,16810442.611227803,2139239.9545244514,42112508.72618586,27441168.931099437,3872106.646755764
2022-02-25,3213135.4513712307,16445225.996453537,3299890.493391719,16377374.287754254,3214361.809823452,16373493.772954643,3210474.249716273,16998038.920167096,2139314.5750495223,42112508.72620475,28194794.706576426,3872107.1904920656
2022-02-26,3220870.836954923,16521293.425362725,3314655.9658751353,16557537.774859533,3221299.1349115497,16554330.947133472,3216979.5597103685,17183391.43902505,2139382.785291868,42112508.726239465,28918670.916397803,3872107.7096515284
2022-02-27,3228175.328673501,16614150.337232938,3329107.888834187,16736284.849734858,3227761.65460791,16733797.229707697,3223163.17119283,17366535.334134787,2139445.1412860886,42112508.72622613,29611366.6345602,3872108.205042949
2022-02-28,3235418.249752216,16698163.733686944,3343248.6515035555,16913628.130533326,3233752.8260547956,16911905.83459804,3229038.94667689,17547505.072924837,2139502.1503695454,42112508.726200946,30271880.208610367,3872108.677549287
2022-03-01,3242466.987871052,16774175.854288189,3357080.8086045673,17089580.11854377,3239278.5032748925,17088669.835435983,3234620.3294074945,17726334.4375635,2139554.2754785903,42112508.72621187,30899616.280459743,3872109.1281117178
